KKR1_ID,x,y,lab_diag,animal
1736,103.461506,14.551843,FMD,beef
1737,102.434309,15.753907,FMD,beef
1741,102.219501,15.304406,FMD,beef
1742,102.10256,15.349349,FMD,dairy
1743,101.362923,14.721448,FMD,dairy
1744,101.382688,16.5089,FMD,cattle
1745,98.388588,7.9466,FMD,beef
1746,101.354045,15.19666,FMD,"dairy,beef"
1748,101.271709,14.791818,FMD,dairy
1761,102.16376,14.976099,FMD,dairy
1764,102.430247,14.934569,FMD,beef
1768,101.942941,17.43019,FMD,dairy
1771,99.65943,12.107417,FMD,cattle
1772,99.81635,12.056372,FMD,cattle
1776,99.731462,19.497096,FMD,cattle
1777,101.454871,14.805326,FMD,"dairy,beef"
1779,101.430374,15.423801,FMD,cattle
1780,101.430374,15.423801,FMD,beef
1781,99.696221,13.727212,FMD,cattle
1782,103.464972,15.17161,FMD,beef
1784,101.659143,17.686654,FMD,beef
1785,100.383938,7.046989,FMD,beef
1786,99.499934,8.173226,Brucellosis,bull
1787,101.118325,14.816101,FMD,dairy
1792,101.362923,14.721448,FMD,dairy
1797,99.884926,8.561222,FMD,beef
1801,102.56242,14.806736,FMD,beef
1815,100.586983,6.992902,FMD,bull
1818,100.541862,6.965216,FMD,beef
1822,99.525323,8.632168,FMD,bull
1823,101.378162,14.88546,FMD,dairy
1825,100.000921,18.291567,FMD,beef
1826,99.988301,8.234104,FMD,beef
1827,99.725775,19.756004,FMD,"dairy,beef"
1829,101.003448,6.633086,FMD,beef
1830,101.008337,6.828797,FMD,beef
1831,101.647378,14.637535,FMD,dairy
1833,100.11671,8.146661,FMD,dairy
1835,100.635122,7.055821,FMD,beef
1836,100.18389,8.313795,FMD,beef
1843,101.500131,14.712872,FMD,beef
1844,100.422203,6.972808,FMD,beef
1846,101.500131,14.712872,FMD,"dairy,beef"
1848,101.075627,15.110186,FMD,cattle
1850,101.378162,14.88546,FMD,dairy
1855,101.272529,16.791748,FMD,dairy
1857,101.154164,6.746229,FMD,beef
1858,101.500131,14.712872,FMD,dairy
1859,101.571522,14.70522,FMD,"dairy,beef"
1876,101.271343,14.896192,FMD,dairy
1877,100.422203,6.972808,FMD,beef
1911,101.271709,14.791818,FMD,dairy
1918,99.67273,19.733554,FMD,beef
1921,100.972523,16.448737,FMD,cattle
1922,104.642753,15.0494,Brucellosis,beef
1923,104.071934,14.525114,Brucellosis,beef
1925,99.705968,7.980909,Brucellosis,beef
1926,102.187725,17.683241,Brucellosis,beef
1927,102.187725,17.683241,Brucellosis,beef
1931,101.362923,14.721448,FMD,dairy
1937,101.271343,14.896192,FMD,dairy
1940,99.965795,8.311027,FMD,beef
1942,100.288377,6.928542,FMD,beef
1944,100.443608,7.309806,FMD,beef
1945,100.406285,6.874457,FMD,beef
1950,100.466486,15.401766,Brucellosis,dairy
1951,100.278403,6.728389,FMD,beef
1953,100.264569,7.174742,FMD,beef
1954,103.210746,16.985854,FMD,dairy
1955,99.791191,14.016722,FMD,dairy
1958,99.885076,13.718807,FMD,dairy
1969,103.072251,17.153241,Brucellosis,beef
1970,102.930853,16.516266,FMD,dairy
1971,101.568126,15.035142,FMD,cattle
1974,100.474713,7.300359,FMD,beef
1981,103.173756,17.473903,FMD,dairy
1982,101.158598,16.793654,FMD,dairy
1984,101.500131,14.712872,FMD,dairy
1985,99.869206,8.400355,FMD,beef
1986,103.525021,16.533726,FMD,beef
1987,99.116913,10.747368,FMD,beef
1988,99.507471,11.45391,FMD,beef
1989,99.730016,11.807598,FMD,cattle
1991,99.876438,8.59109,FMD,beef
1992,98.971721,18.467564,FMD,cattle
1994,105.346402,14.894369,FMD,beef
1995,101.205796,16.688722,FMD,cattle
1998,99.977877,8.16273,FMD,beef
